Changes in global ocean heat content in Zettajoules (ZJ) relative to the 1971 average.
Year,Central Estimate 0-700m,0-700m Uncertainty (1-sigma),Central Estimate 700-2000m,700-2000m Uncertainty (1-sigma),Central Estimate >2000m,>2000m Uncertainty (1-sigma),Central Estimate Full-depth,Full-depth Uncertainty (1-sigma)
2006.5,161.10000000000002,11.37265421576035,73.63606999999999,8.112245203190714,17.25,5.197568389057751,251.98607,24.682467808008816
2007.5,161.0,11.79359371099192,75.68687,7.40408899231118,18.4,5.544072948328268,255.08687,24.74175565163137
2008.5,169.29999999999998,11.204994607338142,76.92710333333333,6.644471152913571,19.549999999999997,5.890577507598785,265.77710333333334,23.740043267850496
2009.5,177.1,11.176821924976883,80.34343666666666,6.1800017611714395,20.699999999999996,6.237082066869301,278.1434366666667,23.593905753017626
2010.5,187.6,11.461962557298614,84.85480333333332,6.128829601821809,21.849999999999994,6.583586626139819,294.3048033333333,24.17437878526024
2011.5,197.6,12.534294382226005,89.69596999999999,5.805610890222897,22.999999999999993,6.930091185410335,310.29597,25.269996457859236
2012.5,208.60000000000002,13.358616249844449,97.01093666666665,6.0742277721550035,24.14999999999999,7.2765957446808525,329.7609366666667,26.709439766680305
2013.5,213.4,13.0500259219249,103.54876999999999,6.1063966543648025,25.29999999999999,7.623100303951369,342.24877,26.77952288024107
2014.5,219.9,12.123341765166616,110.14623666666665,6.493026605739338,26.44999999999999,7.969604863221886,356.4962366666667,26.585973234127838
2015.5,228.20000000000002,12.62319156272682,113.10623666666666,6.373562821175532,27.599999999999987,8.316109422492403,368.90623666666664,27.312863806394756
2016.5,238.5,12.797797258356962,117.18823666666665,6.372145101652033,28.749999999999986,8.66261398176292,384.4382366666666,27.832556341771916
2017.5,242.5,12.406142424192703,118.92090333333331,6.566671713515124,29.899999999999984,9.009118541033436,391.32090333333326,27.981932678741266
2018.5,250.1,11.617869120364057,123.25690333333333,6.955923710165147,31.049999999999983,9.355623100303953,404.4069033333333,27.92941593083316
2019.5,258.4,12.218584413129522,125.91423666666665,7.422956455113536,32.20000000000073,9.702127659574671,416.51423666666733,29.34366852781773
